ID,Name,Fat (g),Protein (g),Carbohydrate (g)
781978,Fat Back Cooked,81.93,2.68,0
781979,Pork Spareribs Cooked Ns As To Fat Eaten,30.05,28.82,0
781980,Pork Spareribs Cooked Lean And Fat Eaten,30.05,28.82,0
781981,Pork Spareribs Cooked Lean Only Eaten,9.24,28.79,0
781982,Pork Spareribs Barbecued With Sauce Ns As To Fat Eaten,22.29,21.45,12.74
781983,Pork Spareribs Barbecued With Sauce Lean And Fat Eaten,22.29,21.45,12.74
781984,Pork Spareribs Barbecued With Sauce Lean Only Eaten,9.82,19.63,12.74
781986,Pork Ears Tail Head Snout Miscellaneous Parts Cooked,13.77,26.14,0
781987,Pork Neck Bones Cooked,7.96,25.85,0
781988,Pork Pig's Feet Cooked,15.92,21.76,0
781990,Pork Pig's Hocks Cooked,14.21,24.67,0
781992,Pork Skin Boiled,65.55,7,0
781995,Lamb Ns As To Cut Cooked,20.77,24.32,0
781996,Lamb Chop Ns As To Cut Cooked Ns As To Fat Eaten,22.89,24.96,0
781997,Lamb Chop Ns As To Cut Cooked Lean And Fat Eaten,22.89,24.96,0
781998,Lamb Chop Ns As To Cut Cooked Lean Only Eaten,9.65,29.74,0
781999,Lamb Loin Chop Cooked Ns As To Fat Eaten,22.89,24.96,0
782000,Lamb Loin Chop Cooked Lean And Fat Eaten,22.89,24.96,0
782001,Lamb Loin Chop Cooked Lean Only Eaten,9.65,29.74,0
782002,Lamb Shoulder Chop Cooked Ns As To Fat Eaten,19.8,22.32,0
782003,Lamb Shoulder Chop Cooked Lean And Fat Eaten,19.8,22.32,0
782004,Lamb Shoulder Chop Cooked Lean Only Eaten,10.68,24.73,0
782005,Lamb Ribs Cooked Lean Only Eaten,12.84,27.51,0
782006,Lamb Ribs Cooked Ns As To Fat Eaten,29.34,21.95,0
782007,Lamb Ribs Cooked Lean And Fat Eaten,29.34,21.95,0
782008,Lamb Hocks Cooked,13.35,28.13,0
782009,Lamb Roast Cooked Ns As To Fat Eaten,18.07,23.83,0
782010,Lamb Roast Cooked Lean And Fat Eaten,18.07,23.83,0
782011,Lamb Roast Cooked Lean Only Eaten,9.18,26.4,0
782012,Lamb Ground Or Patty Cooked,19.49,24.54,0
782013,Goat Boiled,3,26.87,0
782014,Goat Fried,4.52,26.46,0
782015,Goat Baked,3,26.87,0
782016,Goat Head Cooked,5.46,21.82,0.48
782017,Goat Ribs Cooked,3,26.87,0
782018,Veal Ns As To Cut Cooked Ns As To Fat Eaten,11.3,29.85,0
782019,Veal Ns As To Cut Cooked Lean And Fat Eaten,11.3,29.85,0
782020,Veal Ns As To Cut Cooked Lean Only Eaten,6.52,31.63,0
782021,Veal Chop Ns As To Cooking Method Ns As To Fat Eaten,12.22,24.59,0
782022,Veal Chop Ns As To Cooking Method Lean And Fat Eaten,12.22,24.59,0
782023,Veal Chop Ns As To Cooking Method Lean Only Eaten,6.88,26.1,0
782027,Veal Chop Broiled Ns As To Fat Eaten,12.22,24.59,0
782028,Veal Chop Broiled Lean And Fat Eaten,12.22,24.59,0
782029,Veal Chop Broiled Lean Only Eaten,6.88,26.1,0
782030,Veal Cutlet Or Steak Ns As To Cooking Method Ns As To Fat Eaten,7.28,33.67,0
782031,Veal Cutlet Or Steak Ns As To Cooking Method Lean And Fat Eaten,6.28,35.86,0
782032,Veal Cutlet Or Steak Ns As To Cooking Method Lean Only Eaten,4.58,32.89,0
782033,Veal Cutlet Or Steak Broiled Ns As To Fat Eaten,4.61,27.47,0
782034,Veal Cutlet Or Steak Broiled Lean And Fat Eaten,4.61,27.47,0
782035,Veal Cutlet Or Steak Broiled Lean Only Eaten,4.58,32.89,0
782038,Veal Cutlet Or Steak Fried Lean Only Eaten,4.58,32.89,0
782039,Veal Roasted Ns As To Fat Eaten,11.3,29.85,0
782040,Veal Roasted Lean And Fat Eaten,11.3,29.85,0
782041,Veal Roasted Lean Only Eaten,6.88,26.1,0
782042,Veal Ground Or Patty Cooked,7.5,24.18,0
782043,Mock Chicken Legs Cooked,13.79,20.75,5.27
782044,Veal Patty Breaded Cooked,17.11,22.23,8.63
782045,Rabbit Ns As To Domestic Or Wild Cooked,8.38,30.25,0
782046,Rabbit Domestic Ns As To Cooking Method,8.38,30.25,0
782047,Rabbit Ns As To Domestic Or Wild Breaded Fried,12.16,27.65,5.06
782048,Rabbit Wild Cooked,3.5,32.88,0
782049,Venison/deer Nfs,3.93,36.08,0
782050,Venison/deer Cured,4.08,35.11,0
782051,Venison/deer Roasted,3.93,36.08,0
782052,Venison/deer Steak Cooked Ns As To Cooking Method,2.61,29.8,0
782053,Venison/deer Steak Breaded Or Floured Cooked Ns As To Cooking Method,7.68,24.88,12.38
782054,Venison/deer Jerky,22.36,32.2,14.78
782056,Deer Chop Cooked,8.28,28.06,0
782057,Venison/deer Ribs Cooked,3.93,36.08,0
782058,Venison/deer Stewed,3.93,36.08,0
782059,Moose Cooked,0.97,29.15,0
782060,Bear Cooked,13.33,32.28,0
782061,Caribou Cooked,4.4,29.64,0
782062,Bison Cooked,2.41,28.32,0
782063,Ground Hog Cooked,13.6,25.96,0
782064,Opossum Cooked,10.16,30.07,0
782065,Squirrel Cooked,4.67,30.64,0
782066,Beaver Cooked,6.93,34.7,0
782067,Raccoon Cooked,14.44,29.08,0
782068,Armadillo Cooked,4.36,28.18,0
782069,Wild Pig Smoked,4.3,27.8,0
782070,Ostrich Cooked,7.01,25.93,0
782071,Lamb Baby Food Strained,3.41,14.07,0.85
782073,Chicken Ns As To Part And Cooking Method Ns As To Skin Eaten,6.36,26.79,0
782074,Chicken Ns As To Part And Cooking Method Skin Eaten,10.65,25.07,0.1
782075,Chicken Ns As To Part And Cooking Method Skin Not Eaten,6.36,26.79,0
782076,Chicken Ns As To Part Baked Broiled Or Roasted Ns As To Skin Eaten,5.32,27.32,0
782077,Chicken Ns As To Part Baked Broiled Or Roasted Skin Eaten,10.8,24.7,0
782078,Chicken Ns As To Part Baked Broiled Or Roasted Skin Not Eaten,5.32,27.32,0
782079,Chicken Ns As To Part Rotisserie Ns As To Skin Eaten,6.36,26.79,0
782080,Chicken Ns As To Part Rotisserie Skin Eaten,10.65,25.07,0.1
782081,Chicken Ns As To Part Rotisserie Skin Not Eaten,6.36,26.79,0
782082,Chicken Ns As To Part Stewed Ns As To Skin Eaten,5.38,26.03,0
782083,Chicken Ns As To Part Stewed Skin Eaten,10.86,23.58,0
782084,Chicken Ns As To Part Stewed Skin Not Eaten,5.38,26.03,0
782085,Chicken Ns As To Part Grilled Without Sauce Ns As To Skin Eaten,7.2,26.74,0
782086,Chicken Ns As To Part Grilled Without Sauce Skin Eaten,12.57,24.19,0
782087,Chicken Ns As To Part Grilled Without Sauce Skin Not Eaten,7.2,26.74,0
782088,Chicken Ns As To Part Grilled With Sauce Ns As To Skin Eaten,6.36,21.98,7.31
782089,Chicken Ns As To Part Grilled With Sauce Skin Eaten,10.74,19.89,7.31
782090,Chicken Ns As To Part Grilled With Sauce Skin Not Eaten,6.36,21.98,7.31
782091,Chicken Ns As To Part Sauteed Skin Eaten,12.57,24.19,0
782092,Chicken Ns As To Part Sauteed Skin Not Eaten,7.2,26.74,0
782093,Chicken Ns As To Part Fried Coated Skin / Coating Eaten,15.02,21.75,7.14
782094,Chicken Ns As To Part Fried Coated Skin / Coating Not Eaten,6.58,26.18,0.07
782095,Chicken Ns As To Part Baked Coated Skin / Coating Eaten,15.02,21.75,7.14
782096,Chicken Ns As To Part Baked Coated Skin / Coating Not Eaten,6.58,26.18,0.07
782099,Chicken Breast Baked Broiled Or Roasted Skin Eaten From Raw,8.8,26.25,0
782100,Chicken Breast Baked Broiled Or Roasted Skin Not Eaten From Raw,3.52,30.22,0
782103,Chicken Breast Baked Or Broiled Skin Eaten From Fast Food / Restaurant,10.6,25.67,0
782104,Chicken Breast Baked Or Broiled Skin Not Eaten From Fast Food / Restaurant,5.44,29.56,0
782105,Chicken Breast Baked Broiled Or Roasted With Marinade Skin Eaten From Raw,10.45,25.32,0.31
782106,Chicken Breast Baked Broiled Or Roasted With Marinade Skin Not Eaten From Raw,5.38,29.13,0.31
782109,Chicken Breast Stewed Skin Eaten,8.28,24.7,0
782110,Chicken Breast Stewed Skin Not Eaten,3.26,27.96,0
782111,Chicken Breast Grilled Without Sauce Skin Eaten,10.62,25.72,0
782112,Chicken Breast Grilled Without Sauce Skin Not Eaten,5.45,29.62,0
782113,Chicken Breast Grilled With Sauce Skin Eaten,9.15,21.15,7.34
782114,Chicken Breast Grilled With Sauce Skin Not Eaten,4.93,24.33,7.34
782115,Chicken Breast Sauteed Skin Eaten,10.62,25.72,0
782116,Chicken Breast Sauteed Skin Not Eaten,5.45,29.62,0
782117,Chicken Breast Fried Coated Skin / Coating Eaten From Raw,14.07,21.42,5.95
782118,Chicken Breast Fried Coated Skin / Coating Not Eaten From Raw,5.45,29.62,0
782119,Chicken Breast Fried Coated Prepared Skinless Coating Eaten From Raw,9.95,24.52,5.95
782120,Chicken Breast Fried Coated Skin / Coating Eaten From Pre-Cooked,14.74,20.54,7.13
782121,Chicken Breast Fried Coated Skin / Coating Not Eaten From Pre-Cooked,5.45,29.62,0
782122,Chicken Breast Fried Coated Skin / Coating Eaten From Fast Food / Restaurant,16.91,19.29,10.65
782123,Chicken Breast Fried Coated Skin / Coating Not Eaten From Fast Food / Restaurant,10.75,22.73,5.95
782124,Chicken Breast Baked Coated Skin / Coating Eaten,9.88,23.73,3.96
782125,Chicken Breast Baked Coated Skin / Coating Not Eaten,5.45,29.62,0
782126,Chicken Leg Drumstick And Thigh Ns As To Cooking Method Skin Eaten,13.63,23.77,0.12
782127,Chicken Leg Drumstick And Thigh Ns As To Cooking Method Skin Not Eaten,9.15,25.54,0
782128,Chicken Leg Drumstick And Thigh Baked Or Broiled Skin Eaten,12.81,23.16,0
782129,Chicken Leg Drumstick And Thigh Baked Or Broiled Skin Not Eaten,7.13,24.41,0
782130,Chicken Leg Drumstick And Thigh Rotisserie Skin Eaten,13.63,23.77,0.12
782131,Chicken Leg Drumstick And Thigh Rotisserie Skin Not Eaten,9.15,25.54,0
782132,Chicken Leg Drumstick And Thigh Stewed Skin Eaten,13.44,22.45,0
782133,Chicken Leg Drumstick And Thigh Stewed Skin Not Eaten,7.5,24.11,0
782134,Chicken Leg Drumstick And Thigh Grilled Without Sauce Skin Eaten,14.52,22.65,0
782135,Chicken Leg Drumstick And Thigh Grilled Without Sauce Skin Not Eaten,8.96,23.87,0
782136,Chicken Leg Drumstick And Thigh Grilled With Sauce Skin Eaten,12.32,18.64,7.28
782137,Chicken Leg Drumstick And Thigh Grilled With Sauce Skin Not Eaten,7.79,19.63,7.28
782138,Chicken Leg Drumstick And Thigh Sauteed Skin Eaten,14.52,22.65,0
782139,Chicken Leg Drumstick And Thigh Sauteed Skin Not Eaten,8.96,23.87,0
782140,Chicken Leg Drumstick And Thigh Fried Coated Skin / Coating Eaten,17.16,19,5.91
782141,Chicken Leg Drumstick And Thigh Fried Coated Skin / Coating Not Eaten,8.98,23.92,0
782142,Chicken Leg Drumstick And Thigh Baked Coated Skin / Coating Eaten,13.38,20.96,3.93
782143,Chicken Leg Drumstick And Thigh Baked Coated Skin / Coating Not Eaten,8.96,23.87,0
782146,Chicken Drumstick Baked Broiled Or Roasted Skin Eaten From Raw,10.09,23.21,0
782147,Chicken Drumstick Baked Broiled Or Roasted Skin Not Eaten From Raw,5.67,24.1,0
782150,Chicken Drumstick Baked Or Broiled Skin Eaten From Fast Food / Restaurant,11.83,22.66,0
782151,Chicken Drumstick Baked Or Broiled Skin Not Eaten From Fast Food / Restaurant,7.51,23.52,0
782154,Chicken Drumstick Grilled Without Sauce Skin Eaten,11.85,22.7,0
782155,Chicken Drumstick Grilled Without Sauce Skin Not Eaten,7.53,23.57,0
782156,Chicken Drumstick Grilled With Sauce Skin Eaten,10.15,18.68,7.28
782157,Chicken Drumstick Grilled With Sauce Skin Not Eaten,6.62,19.39,7.28
782158,Chicken Drumstick Stewed Skin Eaten,10.64,22.54,0
782159,Chicken Drumstick Stewed Skin Not Eaten,5.9,23.74,0
782160,Chicken Drumstick Sauteed Skin Eaten,11.85,22.7,0
782161,Chicken Drumstick Sauteed Skin Not Eaten,7.53,23.57,0
782162,Chicken Drumstick Fried Coated Skin / Coating Eaten From Raw,15.04,19.05,5.91
782163,Chicken Drumstick Fried Coated Skin / Coating Not Eaten From Raw,7.54,23.61,0
782164,Chicken Drumstick Fried Coated Prepared Skinless Coating Eaten From Raw,11.56,19.7,5.9
782165,Chicken Drumstick Fried Coated Skin / Coating Eaten From Pre-Cooked,15.62,18.25,7.07
782166,Chicken Drumstick Fried Coated Skin / Coating Not Eaten From Pre-Cooked,7.53,23.57,0
782167,Chicken Drumstick Fried Coated Skin / Coating Eaten From Fast Food / Restaurant,18.72,17.73,12.07
782168,Chicken Drumstick Fried Coated Skin / Coating Not Eaten From Fast Food / Restaurant,11.18,21.78,6.05
782169,Chicken Drumstick Baked Coated Skin / Coating Eaten,10.98,21.01,3.93
782170,Chicken Drumstick Baked Coated Skin / Coating Not Eaten,7.53,23.57,0
782173,Chicken Thigh Baked Broiled Or Roasted Skin Eaten From Raw,14.62,23.12,0
782174,Chicken Thigh Baked Broiled Or Roasted Skin Not Eaten From Raw,8.1,24.61,0
782177,Chicken Thigh Baked Or Broiled Skin Eaten From Fast Food / Restaurant,16.25,22.57,0
782178,Chicken Thigh Baked Or Broiled Skin Not Eaten From Fast Food / Restaurant,9.89,24.02,0
782181,Chicken Thigh Stewed Skin Eaten,15.31,22.39,0
782182,Chicken Thigh Stewed Skin Not Eaten,8.56,24.36,0
782183,Chicken Thigh Grilled Without Sauce Skin Eaten,16.29,22.61,0
782184,Chicken Thigh Grilled Without Sauce Skin Not Eaten,9.91,24.07,0
782185,Chicken Thigh Grilled With Sauce Skin Eaten,13.77,18.61,7.28
782186,Chicken Thigh Grilled With Sauce Skin Not Eaten,8.56,19.8,7.28
782187,Chicken Thigh Sauteed Skin Eaten,16.29,22.61,0
782188,Chicken Thigh Sauteed Skin Not Eaten,9.91,24.07,0
782189,Chicken Thigh Fried Coated Skin / Coating Eaten From Raw,18.57,18.98,5.91
782190,Chicken Thigh Fried Coated Skin / Coating Not Eaten From Raw,9.93,24.12,0
782191,Chicken Thigh Fried Coated Prepared Skinless Coating Eaten From Raw,13.46,20.1,5.9
782192,Chicken Thigh Fried Coated Skin / Coating Eaten From Pre-Cooked,18.96,18.19,7.07
782193,Chicken Thigh Fried Coated Skin / Coating Not Eaten From Pre-Cooked,9.91,24.07,0
782194,Chicken Thigh Fried Coated Skin / Coating Eaten From Fast Food,19.64,16.22,12.94
782195,Chicken Thigh Fried Coated Skin / Coating Not Eaten From Fast Food,12.76,19.38,6.24
782196,Chicken Thigh Fried Coated Skin / Coating Eaten From Restaurant,19.64,16.22,12.94
782197,Chicken Thigh Fried Coated Skin / Coating Not Eaten From Restaurant,12.76,19.38,6.24
782198,Chicken Thigh Baked Coated Skin / Coating Eaten,14.96,20.93,3.93
782199,Chicken Thigh Baked Coated Skin / Coating Not Eaten,9.91,24.07,0
782201,Chicken Wing Baked Broiled Or Roasted From Raw,16.74,23.6,0
782203,Chicken Wing Baked Or Broiled From Fast Food / Restaurant,18.35,23.08,0
782205,Chicken Wing Stewed,16.69,22.6,0
782206,Chicken Wing Grilled Without Sauce,18.39,23.13,0
782207,Chicken Wing Grilled With Sauce,15.49,19.03,7.28
782208,Chicken Wing Sauteed,18.39,23.13,0
782209,Chicken Wing Fried Coated From Raw,20.2,19.35,5.9
782210,Chicken Wing Fried Coated From Pre-Cooked,20.55,18.58,7.07
782211,Chicken Wing Fried Coated From Fast Food,21.24,17.74,14.93
782212,Chicken Wing Fried Coated From Restaurant,21.24,17.74,14.93
782213,Chicken Wing Baked Coated,16.85,21.4,3.93
782214,"Chicken ""wings"" With Hot Sauce From Fast Food / Restaurant",19.97,16.78,6.19
782215,"Chicken ""wings"" With Other Sauces Or Seasoning From Fast Food / Restaurant",17.39,16.95,13.13
782216,"Chicken ""wings"" Plain From Fast Food / Restaurant",21.24,17.74,14.93
782217,"Chicken ""wings"" With Hot Sauce From Precooked",19.26,17.57,2.5
782218,"Chicken ""wings"" With Other Sauces Or Seasoning From Precooked",16.67,17.74,9.42
782219,"Chicken ""wings"" Plain From Precooked",20.55,18.58,7.07
782220,"Chicken ""wings"" With Hot Sauce From Other Sources",19.76,17.02,5.08
782221,"Chicken ""wings"" With Other Sauces Or Seasoning From Other Sources",17.17,17.19,12.01
782222,"Chicken ""wings"" Plain From Other Sources",21.03,17.99,12.57
782223,"Chicken ""wings"" Boneless With Hot Sauce From Fast Food / Restaurant",16.8,12.35,20.01
782224,"Chicken ""wings"" Boneless With Hot Sauce From Other Sources",11.75,11.38,19.95
782225,Chicken Back,20.8,25.73,0
782226,Chicken Neck Or Ribs,17.95,19.45,0
782228,Chicken Skin,40.34,20.19,0
782231,Chicken Chicken Roll Roasted,7.38,28.81,0
782234,Chicken Fillet Grilled,5.2,22.24,2.37
782235,Chicken Ground,10.31,27.14,0
782240,Chicken Nuggets From Frozen,19.23,13.36,17.88
782241,Chicken Nuggets From Other Sources,20.02,15.15,15.81
782244,Chicken Tenders Or Strips Breaded From Restaurant,15.62,18.82,16.9
782247,Chicken Tenders Or Strips Breaded From Other Sources,13.84,17.84,16.53
782248,Fried Chicken Chunks Puerto Rican Style,19.75,20.98,20.6
782249,Turkey Nfs,2.06,28.81,0
782250,Turkey Light Meat Skin Not Eaten,2.06,28.81,0
782251,Turkey Light Meat Skin Eaten,5.55,28.28,0.03
782252,Turkey Light Meat Breaded Baked Or Fried Skin Not Eaten,3.7,27.33,6.14
782253,Turkey Light Meat Breaded Baked Or Fried Skin Eaten,6.85,26.85,6.17
782254,Turkey Light Meat Roasted Skin Not Eaten,2.06,28.81,0
782255,Turkey Light Meat Roasted Skin Eaten,5.55,28.28,0.03
782256,Turkey Dark Meat Roasted Skin Not Eaten,5.98,26.94,0
782257,Turkey Dark Meat Roasted Skin Eaten,10.16,26.46,0.05
782258,Turkey Light And Dark Meat Roasted Skin Not Eaten,3.76,27.99,0
782259,Turkey Light And Dark Meat Roasted Skin Eaten,7.54,27.48,0.04
782260,Turkey Light Or Dark Meat Fried Coated Skin Not Eaten,5.05,27.22,1.4
782261,Turkey Light Or Dark Meat Fried Coated Skin Eaten,8.5,26.19,1.4
782262,Turkey Light Or Dark Meat Stewed Skin Not Eaten,2.94,30.88,0.13
782263,Turkey Light Or Dark Meat Stewed Skin Eaten,8.52,30.25,0.14
782265,Turkey Light Or Dark Meat Smoked Skin Not Eaten,5,29.3,0
782266,Turkey Drumstick Cooked Skin Not Eaten,3.38,28.52,0
782267,Turkey Drumstick Cooked Skin Eaten,9.74,27.64,0
782268,Turkey Drumstick Roasted Skin Not Eaten,3.38,28.52,0
782269,Turkey Drumstick Roasted Skin Eaten,10.07,26.86,0
782270,Turkey Drumstick Smoked Skin Eaten,9.8,27.9,0
782271,Turkey Thigh Cooked Skin Eaten,9.26,24.36,0.27
782272,Turkey Thigh Cooked Skin Not Eaten,5.98,26.94,0
782273,Turkey Neck,7.3,22.29,0
782274,Turkey Wing Cooked Skin Not Eaten,2.06,28.81,0
782275,Turkey Wing Cooked Skin Eaten,9.97,26.87,0
782277,Turkey Tail,22.8,22.25,0
782278,Turkey Back,11.26,25.58,0
782280,Turkey Ground,10.31,27.14,0
782281,Turkey Nuggets,8.71,22.37,16.31
782284,Turkey With Barbecue Sauce Skin Eaten,8.16,18.23,12.23
782285,Turkey With Barbecue Sauce Skin Not Eaten,2.82,18.86,12.23
782286,Duck Cooked Skin Eaten,28.23,18.91,0
782287,Duck Cooked Skin Not Eaten,11.15,23.38,0
782288,Duck Roasted Skin Eaten,28.23,18.91,0
782289,Duck Roasted Skin Not Eaten,11.15,23.38,0
782290,Duck Coated Fried,10.92,22.3,7.95
782291,Duck Pressed Chinese,11.63,5.34,6.83
782292,Goose Wild Roasted,21.83,25.06,0
782293,Cornish Game Hen Cooked Skin Eaten,18.06,22.08,0
782294,Cornish Game Hen Cooked Skin Not Eaten,3.84,23.11,0
782295,Cornish Game Hen Roasted Skin Eaten,18.06,22.08,0
782296,Cornish Game Hen Roasted Skin Not Eaten,3.84,23.11,0
782297,Dove Cooked Ns As To Cooking Method,12.95,23.8,0
782298,Dove Fried,13.82,23.06,1.44
782299,Quail Cooked,14.04,25,0
782300,Pheasant Cooked,12.05,32.26,0
782301,Chicken Baby Food Ns As To Strained Or Junior,8.75,13.85,0.05
782309,Beef Liver Braised,5.22,28.84,5.09
782310,Beef Liver Fried,4.64,26.3,5.12
782311,Chicken Liver Braised,6.46,24.26,0.86
782312,Chicken Liver Fried,8.66,19.98,6.41
782314,Heart Cooked,4.69,28.24,0.15
782315,Kidney Cooked,4.61,27.04,0
782316,Sweetbreads Cooked,3.08,22.48,0
782317,Brains Cooked,10.44,11.57,1.47
782318,Tongue Cooked,22.11,19.13,0
782319,Tongue Smoked Cured Or Pickled Cooked,21.74,18.8,0
782320,Tongue Pot Roast Puerto Rican Style,25.02,21.03,0.34
782321,Tripe Cooked,3.85,12.6,0
782322,Chitterlings Cooked,20.15,12.39,0
782323,Hog Maws Cooked,15.96,26.52,0
782324,Gizzard Cooked,2.66,30.14,0
782325,Frankfurter Wiener Or Hot Dog Nfs,29.58,12.3,3.13
782326,Frankfurter Or Hot Dog Cheese-Filled,30.53,14.84,1.59
782327,Frankfurter Or Hot Dog Beef,29.58,12.3,3.13
782328,Frankfurter Or Hot Dog Beef And Pork,25.45,10.23,5.28
782329,Frankfurter Or Hot Dog Beef And Pork Reduced Fat Or Light,25.45,10.23,5.28
782330,Frankfurter Or Hot Dog Meat And Poultry Fat Free,1.67,13.16,11.8
782331,Frankfurter Or Hot Dog Meat And Poultry,25.45,10.23,5.28
782332,Frankfurter Or Hot Dog Meat And Poultry Reduced Fat Or Light,2.95,16.32,8.84
782333,Frankfurter Or Hot Dog Chicken,17.04,16.33,2.88
782334,Frankfurter Or Hot Dog Turkey,18.2,12.87,4.01
782335,Frankfurter Or Hot Dog Beef Reduced Fat Or Light,2.95,16.32,8.84
782336,Frankfurter Or Hot Dog Reduced Fat Or Light Nfs,2.95,16.32,8.84
782337,Beef Sausage,37.57,15.5,0.03
782340,Beef Sausage With Cheese,36.99,15.76,0.4
782343,Bratwurst With Cheese,29.44,14.16,2.94
782348,Turkey Or Chicken And Beef Sausage,19.14,17.6,5.64
782359,Italian Sausage,27.31,19.12,4.27
782369,Scrapple Cooked,14.76,8.57,14.96
782377,Pickled Sausage,35.96,13.69,2.68
782383,Ham Luncheon Meat Loaf Type,10.3,16.5,4.2
782391,Turkey Ham Prepackaged Or Deli Luncheon Meat,3.8,19.6,2.93
782397,Fish Ns As To Type Raw,3.57,18.12,0
782398,Fish Ns As To Type Cooked Ns As To Cooking Method,8.04,22.16,0.1
782399,Fish Ns As To Type Baked Or Broiled Made With Oil,8.04,22.16,0.1
782400,Fish Ns As To Type Baked Or Broiled Made With Butter,7.46,22.17,0.1
782401,Fish Ns As To Type Baked Or Broiled Made With Margarine,6.67,22.14,0.13
782402,Fish Ns As To Type Baked Or Broiled Made Without Fat,4.5,22.82,0.1
782403,Fish Ns As To Type Baked Or Broiled Made With Cooking Spray,4.87,22.73,0.2
782404,Fish Ns As To Type Coated Baked Or Broiled Made With Oil,9.68,19.21,12.52
782405,Fish Ns As To Type Coated Baked Or Broiled Made With Butter,8.79,19.22,12.5
782406,Fish Ns As To Type Coated Baked Or Broiled Made With Margarine,7.58,19.18,12.55
782407,Fish Ns As To Type Coated Baked Or Broiled Made Without Fat,4.26,20.09,13.1
782408,Fish Ns As To Type Coated Baked Or Broiled Made With Cooking Spray,4.55,20.03,13.14
782409,Fish Ns As To Type Coated Fried Made With Oil,13.37,18.46,9.85
782410,Fish Ns As To Type Coated Fried Made With Butter,11.73,18.53,9.86
782411,Fish Ns As To Type Coated Fried Made With Margarine,9.87,18.47,9.93
782412,Fish Ns As To Type Coated Fried Made Without Fat,5.49,21.72,11.6
782413,Fish Ns As To Type Coated Fried Made With Cooking Spray,5.78,21.66,11.64
782414,Fish Ns As To Type Steamed,5.53,25.78,0
782423,Barracuda Cooked Ns As To Cooking Method,13.33,24.56,0.1
782424,Barracuda Baked Or Broiled Fat Added In Cooking,13.33,24.56,0.1
782425,Barracuda Baked Or Broiled Fat Not Added In Cooking,9.94,25.28,0.1
782426,Barracuda Coated Baked Or Broiled Fat Added In Cooking,13.71,21.03,12.52
782427,Barracuda Coated Baked Or Broiled Fat Not Added In Cooking,8.47,22,13.1
782428,Barracuda Coated Fried,17.06,20.13,9.85
782429,Barracuda Steamed Or Poached,9.92,25.24,0
782430,Carp Cooked Ns As To Cooking Method,15.11,18.22,9.85
782431,Carp Baked Or Broiled Fat Added In Cooking,10.53,21.82,0.1
782432,Carp Baked Or Broiled Fat Not Added In Cooking,7.06,22.46,0.1
782433,Carp Coated Baked Or Broiled Fat Added In Cooking,11.57,18.94,12.52
782434,Carp Coated Baked Or Broiled Fat Not Added In Cooking,6.24,19.81,13.1
782435,Carp Coated Fried,15.11,18.22,9.85
782436,Carp Steamed Or Poached,7.04,22.42,0
782437,Carp Smoked,8.74,27.84,0
782438,Catfish Cooked Ns As To Cooking Method,15.4,16,9.86
782439,Catfish Baked Or Broiled Made With Oil,10.94,18.64,0.1
782440,Catfish Baked Or Broiled Made With Butter,10.36,18.65,0.1
782441,Catfish Baked Or Broiled Made With Margarine,9.56,18.61,0.13
782442,Catfish Baked Or Broiled Made Without Fat,7.48,19.18,0.1
782443,Catfish Baked Or Broiled Made With Cooking Spray,7.85,19.11,0.2
782444,Catfish Coated Baked Or Broiled Made With Oil,11.89,16.51,12.52
782445,Catfish Coated Baked Or Broiled Made With Butter,11,16.53,12.5
782446,Catfish Coated Baked Or Broiled Made With Margarine,9.78,16.49,12.55
782447,Catfish Coated Baked Or Broiled Made Without Fat,6.57,17.27,13.1
782448,Catfish Coated Baked Or Broiled Made With Cooking Spray,6.85,17.22,13.14
782449,Catfish Coated Fried Made With Oil,15.4,16,9.85
782450,Catfish Coated Fried Made With Butter,13.75,16.07,9.86
782451,Catfish Coated Fried Made With Margarine,11.9,16.01,9.93
782452,Catfish Coated Fried Made Without Fat,7.87,18.83,11.6
782453,Catfish Coated Fried Made With Cooking Spray,8.16,18.77,11.64
782454,Catfish Steamed Or Poached,7.47,19.15,0
782455,Cod Cooked Ns As To Cooking Method,4.18,18.68,0.1
782456,Cod Baked Or Broiled Made With Oil,4.18,18.68,0.1
782457,Cod Baked Or Broiled Made With Butter,3.6,18.7,0.1
782458,Cod Baked Or Broiled Made With Margarine,2.81,18.66,0.13
782459,Cod Baked Or Broiled Made Without Fat,0.52,19.24,0.1
782460,Cod Baked Or Broiled Made With Cooking Spray,0.91,19.16,0.2
782461,Cod Coated Baked Or Broiled Made With Oil,6.73,16.55,12.52
782462,Cod Coated Baked Or Broiled Made With Butter,5.84,16.57,12.5
782463,Cod Coated Baked Or Broiled Made With Margarine,4.63,16.52,12.55
782464,Cod Coated Baked Or Broiled Made Without Fat,1.17,17.31,13.1
782465,Cod Coated Baked Or Broiled Made With Cooking Spray,1.47,17.26,13.14
782466,Cod Coated Fried Made With Oil,10.68,16.03,9.85
782467,Cod Coated Fried Made With Butter,9.03,16.1,9.86
782468,Cod Coated Fried Made With Margarine,7.18,16.05,9.93
782469,Cod Coated Fried Made Without Fat,2.31,18.87,11.6
782470,Cod Coated Fried Made With Cooking Spray,2.62,18.81,11.64
782471,Cod Steamed Or Poached,0.52,19.2,0
782474,Cod Smoked,0.64,23.91,0
782475,Croaker Cooked Ns As To Cooking Method,7.56,21.76,0.1
